agency_name,year,total_amounts
CARROLL COUNTY PUBLIC SCHOOLS,2020,31938007.44999999
DORCHESTER COUNTY PUBLIC SCHOOLS,2020,30264513.25
WORCESTER COUNTY PUBLIC SCHOOLS,2021,28519644.040000007
QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,2020,26713372.14
GARRETT COUNTY PUBLIC SCHOOLS,2020,26171705.94999999
TALBOT COUNTY PUBLIC SCHOOLS,2018,24838878.29
GARRETT COUNTY PUBLIC SCHOOLS,2019,24258537.789999995
SOMERSET COUNTY PUBLIC SCHOOLS,2020,23950028
GARRETT COUNTY PUBLIC SCHOOLS,2018,23602560.909999996
SOMERSET COUNTY PUBLIC SCHOOLS,2019,21053667.810000014
SOMERSET COUNTY PUBLIC SCHOOLS,2021,20922818.15000001
SOMERSET COUNTY PUBLIC SCHOOLS,2018,20671710.40999999
TALBOT COUNTY PUBLIC SCHOOLS,2021,15653835.18
KENT COUNTY PUBLIC SCHOOLS,2021,14922308.030000005
KENT COUNTY PUBLIC SCHOOLS,2020,13252982.690000001
QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,2021,11688388.52
CAROLINE COUNTY PUBLIC SCHOOLS,2020,11563523.53
KENT COUNTY PUBLIC SCHOOLS,2019,9259539.540000003
KENT COUNTY PUBLIC SCHOOLS,2018,8699401.520000001
CAROLINE COUNTY PUBLIC SCHOOLS,2019,8094867.58
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,2017,0
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,2018,0
CALVERT COUNTY PUBLIC SCHOOLS,2018,0
CAROLINE COUNTY PUBLIC SCHOOLS,2018,0
CARROLL COUNTY PUBLIC SCHOOLS,2018,0
CECIL COUNTY PUBLIC SCHOOLS,2018,0
DORCHESTER COUNTY PUBLIC SCHOOLS,2018,0
FREDERICK COUNTY PUBLIC SCHOOLS,2018,0
HARFORD COUNTY PUBLIC SCHOOLS,2018,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2010,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2011,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2012,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2013,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2015,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2016,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2017,0
MONTGOMERY COUNTY PUBLIC SCHOOLS,2018,0
QUEEN ANNE'S COUNTY PUBLIC SCHOOLS,2018,0
WORCESTER COUNTY PUBLIC SCHOOLS,2018,0
